system,policy,length,n_samples,all3_win_rate,ratio_nrmse_q_mean,ratio_nrmse_q_std,imp_nrmse_q_mean,imp_nrmse_q_std,ratio_nrmse_p_mean,ratio_nrmse_p_std,imp_nrmse_p_mean,imp_nrmse_p_std,ratio_hamres_mean,ratio_hamres_std,imp_hamres_mean,imp_hamres_std
3dof,sinusoidal,100,100,0.73,0.8839611219105642,0.8912951328900492,0.74,0.44084400227680814,0.34748283807249725,0.21081105807087022,0.98,0.14070529413628968,0.19142090816015217,0.20954465936210842,1.0,0.0
3dof,sinusoidal,150,100,0.75,0.762053024537346,0.7365549094441008,0.76,0.4292346959909279,0.3734838849806548,0.2250853392769014,0.98,0.1407052941362897,0.14945439799458518,0.20911407916516137,1.0,0.0
3dof,sinusoidal,200,100,0.74,0.7986973745482361,1.1460427831591031,0.77,0.4229525846816507,0.452374758303256,0.33972994168241105,0.95,0.2190429135575904,0.1849790345170494,0.21670517605147877,1.0,0.0
3dof,sinusoidal,250,100,0.66,1.0718146559841786,1.4268211776278417,0.68,0.4688261722621509,0.5749732591141137,0.28458817740632686,0.94,0.2386832565759421,0.17965406778161294,0.23208240138793249,1.0,0.0
3dof,sinusoidal,300,100,0.71,0.9279933377797198,1.5663236406961227,0.76,0.4292346959909279,0.5792834157876813,0.6410930436036563,0.91,0.28762349126466136,0.17946311423894484,0.22619313732991414,1.0,0.0
3dof,sinusoidal,350,100,0.58,1.3304293549480415,2.026862027078518,0.64,0.48241815132442184,0.6682646674499675,0.6539030250535347,0.85,0.35887028128263665,0.25227743823348675,0.2800736155509811,0.98,0.14070529413628968
3dof,sinusoidal,400,100,0.75,0.7847051441467882,1.0635067383870784,0.81,0.39427724440366246,0.6168359828060763,0.5214733597533867,0.86,0.34873508801977693,0.1804369320461974,0.2045887036232569,1.0,0.0
3dof,sinusoidal,450,100,0.7,1.7606825340543153,8.765581901675409,0.73,0.44619604333847385,0.73059791121878,0.6533252685162633,0.82,0.3861229196653691,0.19583357221565792,0.24142915967042142,1.0,0.0
3dof,sinusoidal,500,100,0.73,0.8796200051058061,1.0821365005814654,0.77,0.4229525846816507,0.6181053024047067,0.3363902232166177,0.89,0.31446603773522014,0.19822874727578557,0.23223555800892076,0.99,0.09999999999999999
3dof,sinusoidal,550,100,0.72,0.8967141868776848,1.0318815188940573,0.74,0.44084400227680814,0.6755672361340025,0.48859167937719794,0.8,0.4020151261036849,0.2129723465938454,0.24164823395600288,1.0,0.0
3dof,sinusoidal,600,100,0.76,0.9209061179468462,1.218192147044422,0.78,0.41633319989322665,0.7101086126859927,0.5372231001832627,0.83,0.3775251680686369,0.22979521669692127,0.23673489165067027,1.0,0.0
3dof,sinusoidal,650,100,0.74,0.8434573120374774,1.0163693633669781,0.79,0.40936018074033237,0.7199199880013347,0.5207844783150385,0.79,0.4093601807403323,0.23058904577413233,0.24059310258493383,0.98,0.1407052941362897
3dof,sinusoidal,700,100,0.65,0.9293017547017564,0.8594420434896801,0.66,0.47609522856952335,0.7248767975563153,0.47725687541530976,0.84,0.3684529491774707,0.2854362965147052,0.2555593933628722,1.0,0.0
3dof,sinusoidal,750,100,0.65,0.8623262393960286,0.5961539792845173,0.69,0.4648231987117318,0.874824973769794,0.7087856591474752,0.74,0.4408440022768081,0.2301575028188496,0.2079889163972313,1.0,0.0
3dof,sinusoidal,800,100,0.68,0.8887439236018944,0.629110839389758,0.71,0.4560480215720687,0.846957751632925,0.8245534325352916,0.76,0.4292346959909279,0.26248839906039767,0.2458996047718308,0.98,0.1407052941362897
3dof,sinusoidal,850,100,0.63,0.99940978553543,1.2100946644424924,0.75,0.43519413988924455,0.9373046691346676,0.6965319370478255,0.71,0.4560480215720687,0.2801083185675143,0.2622478501402623,0.99,0.09999999999999999
3dof,sinusoidal,900,100,0.69,0.938593860114678,0.7322473616098736,0.71,0.4560480215720686,0.9086426291317993,0.5911694547430233,0.76,0.42923469599092784,0.3040968688856536,0.246649095002192,1.0,0.0
3dof,sinusoidal,950,100,0.64,0.9556229846351576,0.5808054999896974,0.71,0.4560480215720687,0.9070453429661233,0.5333187209991396,0.74,0.44084400227680803,0.32579072025490274,0.255490770459398,0.99,0.09999999999999999
